user_id,username,rank_id,url_index,banner_url
28404,Gamma Emerald,998,1,https://forum.mafiascum.net/images/banners/prideagender.png
12380,Gammagooey,352,1,https://forum.mafiascum.net/images/banners/pridegay4.png
33385,GeorgeBailey,765,1,https://forum.mafiascum.net/images/banners/pridebi1.png
34779,Gimli,1011,1,https://forum.mafiascum.net/images/banners/vqL4s3f.png
36495,GoldfishFromTheMoon,952,1,https://forum.mafiascum.net/images/banners/pridenb.png
37464,GreedyBanger,866,1,https://forum.mafiascum.net/images/banners/pridebi1.png
27829,Halian,948,1,https://forum.mafiascum.net/images/banners/pridearoace.png
8137,hasdgfas,983,1,https://i.postimg.cc/zB9y0nfB/madscientist.png
34369,hellbooks,908,1,https://i.postimg.cc/FRhWQqXn/mashterstroke.png
36786,HighPrincessErinys,870,1,https://forum.mafiascum.net/images/banners/pridelesbian.png
36786,HighPrincessErinys,870,2,https://forum.mafiascum.net/images/banners/pride5.png
37825,horse.,868,1,https://forum.mafiascum.net/images/banners/pridegay4.png
36966,Human,872,1,https://forum.mafiascum.net/images/banners/pridebi1.png
9323,imaginality,294,1,https://forum.mafiascum.net/images/banners/pridegay4.png
37472,Immortal Technique,957,1,https://i.postimg.cc/J0kjSCDd/scummiesbanner123.png
37472,Immortal Technique,957,2,https://forum.mafiascum.net/images/banners/pridegay4.png
14368,implosion,608,1,https://i.postimg.cc/FRhWQqXn/mashterstroke.png
14368,implosion,608,2,https://forum.mafiascum.net/images/banners/pridebi1.png
14368,implosion,608,3,https://forum.mafiascum.net/images/banners/AHocrYl.png
38086,J4ckP1n3,886,1,https://forum.mafiascum.net/images/banners/pridemlm.png
33505,JacksonVirgo,1024,1,https://forum.mafiascum.net/images/banners/pridebi1.png
33104,Jake The Wolfie,940,1,https://forum.mafiascum.net/images/banners/pridemlm.png
12572,jmj3000,863,1,https://forum.mafiascum.net/images/banners/pridegay4.png
37271,JupiterXV,880,1,https://forum.mafiascum.net/images/banners/AOXlUSR.png
36997,KawaiiKame,1022,1,https://forum.mafiascum.net/images/banners/vqL4s3f.png
37365,KayJayQueue,942,1,https://forum.mafiascum.net/images/banners/pridebi1.png
37542,kdy,858,1,https://forum.mafiascum.net/images/banners/pridemlm.png
24947,Keychain,946,1,https://forum.mafiascum.net/images/banners/prideace.png
24947,Keychain,946,2,https://forum.mafiascum.net/images/banners/pridearoace.png
28116,keyenpeydee,874,1,https://forum.mafiascum.net/images/banners/pridemlm.png
31189,Korina,712,1,https://forum.mafiascum.net/images/banners/pridearoace.png
31189,Korina,712,2,https://forum.mafiascum.net/images/banners/prideagender.png
14306,Lady Lambdadelta,821,1,https://i.postimg.cc/FR2YDjK7/momentofbrilliance.png
38046,Lhadre,886,1,https://forum.mafiascum.net/images/banners/pridemlm.png
27779,light_ganski,878,1,https://forum.mafiascum.net/images/banners/pride5.png
27779,light_ganski,878,2,https://forum.mafiascum.net/images/banners/pridelesbian.png
30138,Locke113,915,1,https://forum.mafiascum.net/images/banners/pride5.png
37452,LoveKilling,886,1,https://forum.mafiascum.net/images/banners/pridemlm.png
35542,Lukewarm,893,1,https://forum.mafiascum.net/images/banners/pridemlm.png
37686,lynnya,870,1,https://forum.mafiascum.net/images/banners/pridelesbian.png
37686,lynnya,870,2,https://forum.mafiascum.net/images/banners/pride5.png
31494,MafMen,885,1,https://forum.mafiascum.net/images/banners/pridepan.png
30130,Mantichora,1003,1,https://forum.mafiascum.net/images/banners/pridelesbian.png
